# cwtools guard baseline. Regenerate with scripts/md-guard.sh --bless
# corpus: Millennium-Dawn @ 44940966fe
# rules:  cwtools-hoi4-config/Config @ 46d5886
file,line,severity,code,message
common/autonomous_states/MD_default_autonomies.txt,17,Warning,CW235,Modifier cic_to_overlord_factor has value 0. Modifiers are additive so likely doesn't do anything
common/autonomous_states/MD_default_autonomies.txt,18,Warning,CW235,Modifier mic_to_overlord_factor has value 0. Modifiers are additive so likely doesn't do anything
common/autonomous_states/MD_israeli_autonomies.txt,130,Warning,CW235,Modifier mic_to_overlord_factor has value 0. Modifiers are additive so likely doesn't do anything
common/autonomous_states/MD_israeli_autonomies.txt,185,Warning,CW235,Modifier mic_to_overlord_factor has value 0. Modifiers are additive so likely doesn't do anything
common/autonomous_states/MD_israeli_autonomies.txt,22,Warning,CW235,Modifier mic_to_overlord_factor has value 0. Modifiers are additive so likely doesn't do anything
common/autonomous_states/MD_israeli_autonomies.txt,76,Warning,CW235,Modifier mic_to_overlord_factor has value 0. Modifiers are additive so likely doesn't do anything
common/autonomous_states/MD_russian_autonomies.txt,107,Warning,CW235,Modifier autonomy_manpower_share has value 0. Modifiers are additive so likely doesn't do anything
common/autonomous_states/MD_russian_autonomies.txt,108,Warning,CW235,Modifier extra_trade_to_overlord_factor has value 0. Modifiers are additive so likely doesn't do anything
common/autonomous_states/MD_russian_autonomies.txt,109,Warning,CW235,Modifier overlord_trade_cost_factor has value 0. Modifiers are additive so likely doesn't do anything
common/autonomous_states/MD_russian_autonomies.txt,161,Warning,CW235,Modifier cic_to_overlord_factor has value 0. Modifiers are additive so likely doesn't do anything
common/autonomous_states/MD_russian_autonomies.txt,20,Warning,CW235,Modifier cic_to_overlord_factor has value 0. Modifiers are additive so likely doesn't do anything
common/autonomous_states/MD_russian_autonomies.txt,257,Warning,CW235,Modifier cic_to_overlord_factor has value 0. Modifiers are additive so likely doesn't do anything
common/autonomous_states/MD_russian_autonomies.txt,731,Warning,CW235,Modifier cic_to_overlord_factor has value 0. Modifiers are additive so likely doesn't do anything
common/autonomous_states/MD_serbian_autonomies.txt,131,Warning,CW235,Modifier cic_to_overlord_factor has value 0. Modifiers are additive so likely doesn't do anything
common/autonomous_states/MD_serbian_autonomies.txt,21,Warning,CW235,Modifier cic_to_overlord_factor has value 0. Modifiers are additive so likely doesn't do anything
common/autonomous_states/MD_serbian_autonomies.txt,75,Warning,CW235,Modifier cic_to_overlord_factor has value 0. Modifiers are additive so likely doesn't do anything
