# cwtools guard baseline. Regenerate with scripts/corpus-guard.sh --bless
# corpus: Kaiserreich-4-Development @ a1ae37e35ba
# rules:  cwtools-hoi4-config/Config @ 46d5886
file,line,severity,code,message
common/ai_strategy/GRE.txt,153,Information,CW223,"NOT with multiple children acts as NOR (true only if every child is false). Make intent explicit: NOT = { OR = { ... } } for NOR, or NOT = { AND = { ... } } for NAND."
common/ai_strategy/GXC.txt,160,Information,CW223,"NOT with multiple children acts as NOR (true only if every child is false). Make intent explicit: NOT = { OR = { ... } } for NOR, or NOT = { AND = { ... } } for NAND."
common/ai_strategy/HNN.txt,130,Information,CW223,"NOT with multiple children acts as NOR (true only if every child is false). Make intent explicit: NOT = { OR = { ... } } for NOR, or NOT = { AND = { ... } } for NAND."
common/ai_strategy/IRE.txt,65,Information,CW223,"NOT with multiple children acts as NOR (true only if every child is false). Make intent explicit: NOT = { OR = { ... } } for NOR, or NOT = { AND = { ... } } for NAND."
common/ai_strategy/RUS.txt,1480,Information,CW223,"NOT with multiple children acts as NOR (true only if every child is false). Make intent explicit: NOT = { OR = { ... } } for NOR, or NOT = { AND = { ... } } for NAND."
common/ai_strategy/RUS.txt,422,Information,CW223,"NOT with multiple children acts as NOR (true only if every child is false). Make intent explicit: NOT = { OR = { ... } } for NOR, or NOT = { AND = { ... } } for NAND."
common/ai_strategy/TUR.txt,124,Information,CW223,"NOT with multiple children acts as NOR (true only if every child is false). Make intent explicit: NOT = { OR = { ... } } for NOR, or NOT = { AND = { ... } } for NAND."
common/ai_strategy/TUR.txt,199,Information,CW223,"NOT with multiple children acts as NOR (true only if every child is false). Make intent explicit: NOT = { OR = { ... } } for NOR, or NOT = { AND = { ... } } for NAND."
common/ai_strategy/TUR.txt,206,Information,CW223,"NOT with multiple children acts as NOR (true only if every child is false). Make intent explicit: NOT = { OR = { ... } } for NOR, or NOT = { AND = { ... } } for NAND."
common/ai_strategy/TUR.txt,551,Information,CW223,"NOT with multiple children acts as NOR (true only if every child is false). Make intent explicit: NOT = { OR = { ... } } for NOR, or NOT = { AND = { ... } } for NAND."
common/ai_strategy/TUR.txt,76,Information,CW223,"NOT with multiple children acts as NOR (true only if every child is false). Make intent explicit: NOT = { OR = { ... } } for NOR, or NOT = { AND = { ... } } for NAND."
common/ai_strategy_plans/GXC_strategy_plan.txt,9,Information,CW223,"NOT with multiple children acts as NOR (true only if every child is false). Make intent explicit: NOT = { OR = { ... } } for NOR, or NOT = { AND = { ... } } for NAND."
common/autonomous_states/00_integrated_puppet.txt,11,Warning,CW100,Localisation key RULE_DESC_IS_A_SUBJECT is not defined for any language
common/autonomous_states/01_occupied_puppet.txt,11,Warning,CW100,Localisation key RULE_DESC_IS_A_SUBJECT is not defined for any language
common/autonomous_states/02_default_puppet.txt,12,Warning,CW100,Localisation key RULE_DESC_IS_A_SUBJECT is not defined for any language
common/autonomous_states/03_autonomous_puppet.txt,11,Warning,CW100,Localisation key RULE_DESC_IS_A_SUBJECT is not defined for any language
common/autonomous_states/03_autonomous_puppet.txt,21,Warning,CW235,Modifier autonomy_manpower_share has value 0. Modifiers are additive so likely doesn't do anything
common/autonomous_states/04_nominal_puppet.txt,11,Warning,CW100,Localisation key RULE_DESC_IS_A_SUBJECT is not defined for any language
common/autonomous_states/04_nominal_puppet.txt,19,Warning,CW235,Modifier autonomy_manpower_share has value 0. Modifiers are additive so likely doesn't do anything
common/autonomous_states/KR_mitteleuropa_integrated_member.txt,11,Warning,CW100,Localisation key RULE_DESC_IS_A_SUBJECT is not defined for any language
common/autonomous_states/KR_mitteleuropa_integrated_member.txt,21,Warning,CW235,Modifier autonomy_manpower_share has value 0. Modifiers are additive so likely doesn't do anything
common/autonomous_states/autonomous_territory.txt,11,Warning,CW100,Localisation key RULE_DESC_IS_A_SUBJECT is not defined for any language
common/autonomous_states/chinese_suzerainty.txt,13,Warning,CW100,Localisation key RULE_DESC_IS_A_SUBJECT is not defined for any language
common/autonomous_states/colonial_government.txt,11,Warning,CW100,Localisation key RULE_DESC_IS_A_SUBJECT is not defined for any language
common/autonomous_states/colonial_government.txt,21,Warning,CW235,Modifier autonomy_manpower_share has value 0. Modifiers are additive so likely doesn't do anything
common/autonomous_states/crownland.txt,11,Warning,CW100,Localisation key RULE_DESC_IS_A_SUBJECT is not defined for any language
common/autonomous_states/federated_colony.txt,12,Warning,CW100,Localisation key RULE_DESC_IS_A_SUBJECT is not defined for any language
common/autonomous_states/federated_colony.txt,22,Warning,CW235,Modifier autonomy_manpower_share has value 0. Modifiers are additive so likely doesn't do anything
common/autonomous_states/federated_dominion.txt,12,Warning,CW100,Localisation key RULE_DESC_IS_A_SUBJECT is not defined for any language
common/autonomous_states/federated_dominion.txt,20,Warning,CW235,Modifier autonomy_manpower_share has value 0. Modifiers are additive so likely doesn't do anything
common/autonomous_states/federated_state.txt,12,Warning,CW100,Localisation key RULE_DESC_IS_A_SUBJECT is not defined for any language
